time,value
2024-01-01 00:00:00.238521,29.39
2024-01-01 00:15:00.238521,36.7
2024-01-01 00:30:00.238521,49.92
2024-01-01 00:45:00.238521,45.67
2024-01-01 01:00:00.238521,45.91
2024-01-01 01:15:00.238521,26.85
2024-01-01 01:30:00.238521,32.45
2024-01-01 01:45:00.238521,44.15
2024-01-01 02:00:00.238521,17.92
2024-01-01 02:15:00.238521,48.8
2024-01-01 02:30:00.238521,41.89
2024-01-01 02:45:00.238521,40.19
2024-01-01 03:00:00.238521,28.42
2024-01-01 03:15:00.238521,34.25
2024-01-01 03:30:00.238521,40.92
2024-01-01 03:45:00.238521,31.02
2024-01-01 04:00:00.238521,42.84
2024-01-01 04:15:00.238521,39.84
2024-01-01 04:30:00.238521,17.95
2024-01-01 04:45:00.238521,19.36
2024-01-01 05:00:00.238521,34.97
2024-01-01 05:15:00.238521,35.94
2024-01-01 05:30:00.238521,33.02
2024-01-01 05:45:00.238521,47.57
2024-01-01 06:00:00.238521,23.56
2024-01-01 06:15:00.238521,24.46
2024-01-01 06:30:00.238521,35.53
2024-01-01 06:45:00.238521,36.33
2024-01-01 07:00:00.238521,19.68
2024-01-01 07:15:00.238521,42.68
2024-01-01 07:30:00.238521,36.0
2024-01-01 07:45:00.238521,41.44
2024-01-01 08:00:00.238521,35.98
2024-01-01 08:15:00.238521,30.47
2024-01-01 08:30:00.238521,46.29
2024-01-01 08:45:00.238521,42.92
2024-01-01 09:00:00.238521,17.25
2024-01-01 09:15:00.238521,28.25
2024-01-01 09:30:00.238521,32.31
2024-01-01 09:45:00.238521,27.54
2024-01-01 10:00:00.238521,22.02
2024-01-01 10:15:00.238521,47.56
2024-01-01 10:30:00.238521,41.67
2024-01-01 10:45:00.238521,39.41
2024-01-01 11:00:00.238521,32.3
2024-01-01 11:15:00.238521,33.27
2024-01-01 11:30:00.238521,45.82
2024-01-01 11:45:00.238521,47.16
2024-01-01 12:00:00.238521,46.01
2024-01-01 12:15:00.238521,19.77
2024-01-01 12:30:00.238521,15.75
2024-01-01 12:45:00.238521,40.51
2024-01-01 13:00:00.238521,19.7
2024-01-01 13:15:00.238521,33.7
2024-01-01 13:30:00.238521,38.52
2024-01-01 13:45:00.238521,47.41
2024-01-01 14:00:00.238521,24.94
2024-01-01 14:15:00.238521,17.84
2024-01-01 14:30:00.238521,33.3
2024-01-01 14:45:00.238521,28.4
2024-01-01 15:00:00.238521,46.65
2024-01-01 15:15:00.238521,36.33
2024-01-01 15:30:00.238521,42.45
2024-01-01 15:45:00.238521,16.16
2024-01-01 16:00:00.238521,35.85
2024-01-01 16:15:00.238521,40.83
2024-01-01 16:30:00.238521,41.11
2024-01-01 16:45:00.238521,21.0
2024-01-01 17:00:00.238521,23.43
2024-01-01 17:15:00.238521,33.25
2024-01-01 17:30:00.238521,28.36
2024-01-01 17:45:00.238521,42.41
2024-01-01 18:00:00.238521,38.62
2024-01-01 18:15:00.238521,38.84
2024-01-01 18:30:00.238521,23.34
2024-01-01 18:45:00.238521,48.63
2024-01-01 19:00:00.238521,36.52
2024-01-01 19:15:00.238521,47.4
2024-01-01 19:30:00.238521,19.7
2024-01-01 19:45:00.238521,25.48
2024-01-01 20:00:00.238521,28.66
2024-01-01 20:15:00.238521,27.1
2024-01-01 20:30:00.238521,17.08
2024-01-01 20:45:00.238521,23.61
2024-01-01 21:00:00.238521,37.57
2024-01-01 21:15:00.238521,27.04
2024-01-01 21:30:00.238521,34.41
2024-01-01 21:45:00.238521,47.13
2024-01-01 22:00:00.238521,45.94
2024-01-01 22:15:00.238521,49.45
2024-01-01 22:30:00.238521,41.43
2024-01-01 22:45:00.238521,45.36
2024-01-01 23:00:00.238521,16.52
2024-01-01 23:15:00.238521,33.97
2024-01-01 23:30:00.238521,36.38
2024-01-01 23:45:00.238521,16.39
2024-01-02 00:00:00.238521,25.99
2024-01-02 00:15:00.238521,33.09
2024-01-02 00:30:00.238521,22.7
2024-01-02 00:45:00.238521,15.95
2024-01-02 01:00:00.238521,46.8
2024-01-02 01:15:00.238521,43.67
2024-01-02 01:30:00.238521,37.86
2024-01-02 01:45:00.238521,27.85
2024-01-02 02:00:00.238521,42.9
2024-01-02 02:15:00.238521,25.86
2024-01-02 02:30:00.238521,21.62
2024-01-02 02:45:00.238521,33.75
2024-01-02 03:00:00.238521,36.16
2024-01-02 03:15:00.238521,23.68
2024-01-02 03:30:00.238521,28.42
2024-01-02 03:45:00.238521,21.49
2024-01-02 04:00:00.238521,25.98
2024-01-02 04:15:00.238521,16.25
2024-01-02 04:30:00.238521,32.32
2024-01-02 04:45:00.238521,33.94
2024-01-02 05:00:00.238521,36.85
2024-01-02 05:15:00.238521,27.2
2024-01-02 05:30:00.238521,16.06
2024-01-02 05:45:00.238521,35.99
2024-01-02 06:00:00.238521,34.01
2024-01-02 06:15:00.238521,30.1
2024-01-02 06:30:00.238521,29.88
2024-01-02 06:45:00.238521,17.76
2024-01-02 07:00:00.238521,45.3
2024-01-02 07:15:00.238521,27.43
2024-01-02 07:30:00.238521,17.24
2024-01-02 07:45:00.238521,25.13
2024-01-02 08:00:00.238521,39.12
2024-01-02 08:15:00.238521,31.94
2024-01-02 08:30:00.238521,18.89
2024-01-02 08:45:00.238521,17.47
2024-01-02 09:00:00.238521,44.0
2024-01-02 09:15:00.238521,44.31
2024-01-02 09:30:00.238521,39.21
2024-01-02 09:45:00.238521,19.07
2024-01-02 10:00:00.238521,39.44
2024-01-02 10:15:00.238521,35.53
2024-01-02 10:30:00.238521,35.55
2024-01-02 10:45:00.238521,25.65
2024-01-02 11:00:00.238521,19.8
2024-01-02 11:15:00.238521,32.11
