time,value
2025-03-26 00:00:00.238521,19.52
2025-03-26 00:15:00.238521,47.97
2025-03-26 00:30:00.238521,44.3
2025-03-26 00:45:00.238521,23.37
2025-03-26 01:00:00.238521,15.03
2025-03-26 01:15:00.238521,46.7
2025-03-26 01:30:00.238521,16.73
2025-03-26 01:45:00.238521,26.63
2025-03-26 02:00:00.238521,21.16
2025-03-26 02:15:00.238521,18.61
2025-03-26 02:30:00.238521,19.51
2025-03-26 02:45:00.238521,25.52
2025-03-26 03:00:00.238521,41.12
2025-03-26 03:15:00.238521,49.53
2025-03-26 03:30:00.238521,40.34
2025-03-26 03:45:00.238521,25.41
2025-03-26 04:00:00.238521,44.63
2025-03-26 04:15:00.238521,18.33
2025-03-26 04:30:00.238521,16.1
2025-03-26 04:45:00.238521,31.61
2025-03-26 05:00:00.238521,38.64
2025-03-26 05:15:00.238521,46.26
2025-03-26 05:30:00.238521,46.07
2025-03-26 05:45:00.238521,26.28
2025-03-26 06:00:00.238521,30.5
2025-03-26 06:15:00.238521,39.2
2025-03-26 06:30:00.238521,44.12
2025-03-26 06:45:00.238521,30.99
2025-03-26 07:00:00.238521,44.05
2025-03-26 07:15:00.238521,39.42
2025-03-26 07:30:00.238521,28.22
2025-03-26 07:45:00.238521,42.8
2025-03-26 08:00:00.238521,23.19
2025-03-26 08:15:00.238521,41.51
2025-03-26 08:30:00.238521,29.99
2025-03-26 08:45:00.238521,45.4
2025-03-26 09:00:00.238521,33.28
2025-03-26 09:15:00.238521,15.08
2025-03-26 09:30:00.238521,17.07
2025-03-26 09:45:00.238521,25.29
2025-03-26 10:00:00.238521,42.97
2025-03-26 10:15:00.238521,37.42
2025-03-26 10:30:00.238521,46.01
2025-03-26 10:45:00.238521,33.26
2025-03-26 11:00:00.238521,29.35
2025-03-26 11:15:00.238521,32.76
2025-03-26 11:30:00.238521,34.93
2025-03-26 11:45:00.238521,20.43
2025-03-26 12:00:00.238521,33.32
2025-03-26 12:15:00.238521,31.76
2025-03-26 12:30:00.238521,17.02
